Тельма;2017,Норвегия,Триллеры,Драмы,Мистические
Географ глобус пропил;2013,Россия,Драмы,Мелодрамы
Керосин;2019,Россия,Драмы,Артхаус,Русские
Анатомия измены;2018,Россия,Драмы,Русские,Артхаус
Волчок;2008,Россия,Артхаус,Драмы,Русские
Глубокие реки (на кабардино-черкесском языке с русскими субтитрами);2018,Россия,Драмы,Артхаус,Русские
Ведьмы;1922,Швеция,Ужасы,Приключения,Исторические
Ученик;2016,Россия,Драмы,Артхаус,Русские
Солярис;1972,СССР,Советское кино,Фантастика,Артхаус
Асса;1987,СССР,Советское кино,Артхаус,Драмы
Сталкер;1979,СССР,Фантастика,Советское кино,Артхаус
Обыкновенный фашизм;1966,СССР,Военные,Советское кино,Документальные
О теле и душе;2017,Венгрия,Артхаус,Драмы,Зарубежные
Евгений Гришковец: Предисловие;Россия,Артхаус,Драмы,Русские
Жизнь Раз;2018,Россия,Драмы,Артхаус,Русские
Ведьмы из Сугаррамурди;2013,Испания,Комедии,Ужасы,Приключения
Хэппи-энд;2017,Франция,Драмы,Комедии,Зарубежные
Европа;1991,Дания,Драмы,Исторические,Артхаус
Странник;2017,Россия,Артхаус,Драмы,Триллеры
Американец;2010,США,Детективы,Драмы,Зарубежные
Изображая жертву;2006,Россия,Комедии,Русские,Артхаус
Коко-ди Коко-да;2019,Швеция,Ужасы,Драмы,Артхаус
Андрей Рублев;1966,СССР,Артхаус,Советское кино,Драмы
Осколки;2017,Россия,Драмы,Мелодрамы,Русские
Разомкнутые объятия;2009,Испания,Артхаус,Мелодрамы,Драмы
8 свиданий;2008,Испания,Артхаус,Комедии,Мелодрамы
Зеркало;1974,СССР,Артхаус,Советское кино,Драмы
Про уродов и людей;1998,Россия,Драмы,Русские,Артхаус
Дерево;2010,Франция,Артхаус,Драмы,Зарубежные
Гупешка;2018,Россия,Драмы,Артхаус
Без иллюзий;1994,Португалия,Артхаус,Драмы,Зарубежные
О лошадях и людях;2013,Исландия,Комедии,Драмы,Мелодрамы
Танцующая в темноте;2000,Дания,Драмы,Криминал
Наше время;2019,Мексика,Драмы,Артхаус,Зарубежные
Язычники;2017,Россия,Драмы,Русские
Голубь сидел на ветке, размышляя о бытии;2014,Швеция,Комедии,Драмы,Зарубежные
Богиня: Как я полюбила;2004,Россия,Драмы,Русские,Артхаус
Нирвана;2008,Россия,Драмы,Русские,Артхаус
Три лица;2018,Иран,Драмы,Артхаус,Зарубежные
Девица;2018,США,Вестерн,Артхаус,Комедии
Гольфстрим под айсбергом;2011,Россия,Драмы,Русские,Артхаус
Странное время;1997,Россия,Артхаус,Драмы,Русские
Прогулка;2003,Россия,Артхаус,Мелодрамы,Драмы
Бог существует, её имя – Петруния (на македонском языке с русскими субтитрами);2019,Македония,Драмы,Артхаус,Зарубежные
Дневник его жены;2000,Россия,Артхаус,Драмы,Русские
Овсянки;2010,Россия,Драмы,Артхаус,Русские
Москва будто бы сон (с английскими субтитрами);2019,Россия,Документальные,Артхаус,Русские
Коммивояжер;2016,Иран,Драмы,Артхаус,Триллеры
Молоко скорби;2009,Испания,Артхаус,Драмы,Зарубежные
Доктор;2012,Россия,Драмы,Артхаус,Русские
Москва;2000,Россия,Драмы,Русские,Артхаус
В доме;2012,Франция,Мелодрамы,Драмы,Зарубежные
[4K] Лицо;2018,Польша,Артхаус,Драмы,Зарубежные
Мой друг Иван Лапшин;1984,СССР,Советское кино,Артхаус,Драмы
Гигант;2009,Уругвай,Артхаус,Комедии,Драмы
Я тебя не люблю;2012,Россия,Драмы,Русские,Артхаус
Убежище;2009,Франция,Драмы,Зарубежные,Артхаус
Зимние братья;2017,Дания,Драмы,Артхаус,Зарубежные
Соблазненные и брошенные;2013,США,Зарубежные,Документальные,Артхаус
Детство лидера;2015,США,Драмы,Артхаус,Зарубежные
Самый главный босс;2006,Дания,Комедии,Артхаус,Зарубежные
Человек, место, время и снова человек;2018,Южная Корея,Драмы,Артхаус,Зарубежные
Портал;2018,Россия,Артхаус,Ужасы,Мистические
Иваново детство;1962,СССР,Военные,Артхаус,Советское кино
Человек, который удивил всех;2018,Россия,Драмы,Артхаус,Русские
Эпидемия;1987,Дания,Артхаус,Ужасы,Триллеры
Отрочество;2014,США,Драмы,Мелодрамы,Зарубежные
Три сестры;2017,Россия,Драмы,Артхаус
Наследники;2008,Россия,Драмы,Артхаус,Русские
Присутствие великолепия;2012,Италия,Комедии,Мелодрамы,Драмы
Дни затмения;1988,СССР,Советское кино,Артхаус,Драмы
Герасим;2017,Россия,Драмы,Русские,Артхаус
Кармо;2008,Испания,Артхаус,Приключения,Мелодрамы
ИННО;2018,Россия,Ужасы,Артхаус
Прорубь;2017,Россия,Артхаус,Комедии
Туринская лошадь;2011,Венгрия,Артхаус,Драмы,Зарубежные
Гараш;2015,Беларусь,Комедии,Артхаус,Зарубежные
Второстепенные люди;2001,Украина,Драмы,Мелодрамы,Комедии
Добро пожаловать, незнакомец;2018,США,Артхаус,Драмы,Детективы
ДАУ. Никита Таня;Россия,Драмы,Артхаус,Русские
Секрет счастья;2014,Аргентина,Комедии,Драмы,Мелодрамы
Ржавчина и кость;2012,Франция,Драмы,Мелодрамы,Зарубежные
Сад;2008,Россия,Артхаус,Комедии,Русские
Цена победы;2014,Франция,Драмы,Артхаус,Спорт
ДАУ. Нора Мама;Украина,Артхаус,Драмы,Биография
ДАУ. Три дня;Россия,Драмы,Артхаус,Русские
[4K] Воскресение Христа;2016,США,Артхаус
Не в себе;2018,США,Драмы,Триллеры,Ужасы
ДАУ. Теория струн;2019,Россия,Артхаус,Драмы,Биография
История призрака;2017,США,Драмы,Артхаус,Зарубежные
Форсаж: Хоббс и Шоу;2019,США,Боевики,Приключения,Зарубежные
Апгрейд;2018,Австралия,Триллеры,Боевики,Фантастика
Терминатор: Темные судьбы;2019,США,Фантастика,Боевики,Приключения
Черная Пантера;2018,США,Фантастика,Боевики,Приключения
Шугалей;Россия,Боевики,Приключения,Русские
Поезд в Пусан;2016,Южная Корея,Ужасы,Боевики,Триллеры
Человек-Паук: Вдали от дома;2019,США,Фантастика,Боевики,Приключения
Шпион;2015,США,Боевики,Комедии,Криминал
Мстители: Финал;2019,США,Фантастика,Боевики,Приключения
Люди в черном: Интернэшнл;2019,США,Фантастика,Боевики,Приключения
Дэдпул;2016,США,Фантастика,Боевики,Комедии
Мидуэй;2019,США,Военные,Боевики,Исторические
Аквамен;2018,США,Фантастика,Боевики,Приключения
Шазам!;2019,США,Фэнтези,Комедии,Приключения
